email,air_conditioning,operator,@geometry,wikipedia,@id,addr:city,building,website,toilets:access,building:levels,roof:shape,opening_hours:cinema,opening_hours:restaurant,capacity,building:part,addr:postcode,landuse,addr:housenumber,toilets:wheelchair,cuisine,description,wheelchair,type,toilets,check_date,name,name:hi,building:levels:underground,layer,name:en,supervised,brand,wikidata,currency:INR,fee,shop,short_name,phone,addr:street,opening_hours,latitude,longitude
,,,center,,relation/2732576,,yes,,,2,,,,,,,,,,,,,multipolygon,,,Soul Mall,,,,,,,,,,mall,,,,,28.5963058,77.036184
,,,center,,relation/17653225,New Delhi,retail,,yes,6,flat,,,,,110070,,2,yes,,,yes,multipolygon,yes,2024-05-26,Ambience Mall,एंबिएंस मॉल,1,,,,,,,,mall,,,Nelson Mandela Marg,10:00-22:00,28.5412059,77.1548991
,,,center,en:Nexus Select Citywalk,relation/19112421,,,,,,,,,,,,,,,,,,multipolygon,,,Select Citywalk,,,,,,,,,,mall,,,,,28.5287117,77.2189918
,,,center,,relation/19112422,,,,,,,,,,,,,,,,,,multipolygon,,,DLF Avenue,,,,,,,,,,mall,,,,,28.5279601,77.2168419
,,,center,,relation/19381498,,yes,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,mall,,,,,28.7156791,77.1344797
,,,center,en:Metro Walk (Delhi),way/24618045,,,,,,,,,,,,commercial,,,,,,,,,Metro Walk Mall,,,,,,,Q6824770,,,mall,,,,,28.7238803,77.1140537
,,,center,,way/78180108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,28.7028873,77.158204
,,,center,,way/151571969,,,,,,,,,,,,,,,,,,,,,"Commercial Area, Sec 4",,,,,,,,,,mall,,,,,28.6008833,77.0466899
,,,center,,way/154330052,,,,,,,,,,,,,,,,,,,,,WEST MALL,,,,,,,,,,mall,,,,,28.6298143,77.0796396
,,,center,,way/171605367,,yes,,,,,,,,,,,,,,,,,,,Aggarwal City Mall,,,1,,,,,,,mall,,,,,28.6901058,77.1341734
,,,center,,way/191980797,New Delhi,yes,,,4,,,,,yes,110070,,4,yes,,,yes,,,,DLF Emporio,डीएलएफ एम्पोरियो,,,,,,Q5374410,,,mall,,,Nelson Mandela Marg,11:00-21:00,28.5435328,77.1567003
,,,center,,way/191980803,New Delhi,yes,,,,,10:00 - 02:00,11:00 - 23:00,,,110070,,3,yes,,,yes,,,,DLF Promenade,डीएलएफ प्रोमेनेड,,,,,,,,,mall,,,Nelson Mandela Marg,10:00-22:00,28.5424742,77.1560024
,,,center,,way/209492487,"Dwarka, New Delhi",,https://www.vegasmall.in,,,,,,,,110078,commercial,,,,,,,,,Vegas Mall,,,,,,,,,,mall,,,Internal road,,28.6010845,77.0296006
,,Reliance Retail,center,,way/262562931,"Vikaspuri, New Delhi",yes,,,,,,,,,110018,,,,,,,,,,Reliance Mall,,,,,,,,,,mall,,,Guru Virjanand Marg,,28.6319016,77.0680952
,,,center,,way/265166888,,,,,,,,,,,,retail,,,,,,,,,Pacific Mall,,,,,,,,,,mall,,,,,28.6424447,77.1061135
sales@unitygroup.in,yes,Unity Group,center,,way/300014142,"Sector- 10, Rohini, Delhi",retail,https://unityone.in/rohini.html,,8,flat,,,200,,110085,,,,,Unity One Rohini is a boutique retail destination which has been developed in collaboration with DMRC. It is one of the first malls in India to be connected via a metro station on the concourse level.,,,,,Unity One,,,,,yes,,,yes,yes,mall,,011-61246666,,,28.7150747,77.116275
